,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
1446,木夭丑友什67aa37ba,0.198,584.0,1329.0,177.0,256.0,1992,5,53,-1.6194882482876019,5.545177444479562
1447,木夭丑友什67aa37bb,0.447,388.0,849.0,94.0,127.0,1991,6,23,-0.8051966843685682,4.844187086458591
1448,木夭丑友什67aa38aa,0.447,571.0,1323.0,124.0,275.0,1990,4,41,-0.8051966843685682,5.616771097666572
1449,木夭丑友什67aa38ab,0.69,641.0,1151.0,83.0,491.0,1987,5,60,-0.37106368139083207,6.19644412779452
1450,木夭丑友什67aa38ba,0.69,356.0,694.0,76.0,250.0,1990,3,47,-0.37106368139083207,5.521460917862246
1451,木夭丑友什67aa38bb,3.975,230.0,765.0,98.0,81.0,1997,3,11,1.3800247481062953,4.394449154672439
1452,木夭丑友什67aa39aa,1.322,0.0,18.0,0.0,2.0,1998,0,0,0.2791457414294946,0.6931471805599453
1453,木夭丑友什67aa39ab,0.207,48.0,242.0,25.0,35.0,2003,2,0,-1.575036485716768,3.5553480614894135
1454,木夭丑友什67aa39ba,0.207,196.0,743.0,96.0,105.0,2002,1,5,-1.575036485716768,4.653960350157523
1455,木夭丑友什67aa39bb,3.506,102.0,398.0,54.0,50.0,2002,2,5,1.2544757864990428,3.912023005428146
1456,木夭丑友什67aa40aa,3.506,66.0,212.0,30.0,22.0,2001,0,0,1.2544757864990428,3.091042453358316
1457,木夭丑友什67aa40ab,3.506,182.0,826.0,166.0,112.0,2004,5,0,1.2544757864990428,4.718498871295094
1458,木夭丑友什67aa40ba,1.674,176.0,741.0,165.0,105.0,2006,3,0,0.5152159720672835,4.653960350157523
1459,木夭丑友什67aa40bb,1.674,129.0,392.0,90.0,60.0,2004,4,1,0.5152159720672835,4.0943445622221
1460,木夭丑友什67aa41aa,1.634,25.0,75.0,17.0,12.0,2006,3,0,0.49103099643781106,2.4849066497880004
1473,木夭丑友什67ab29ba,0.793,101.0,414.0,57.0,63.0,1998,1,12,-0.23193205734728903,4.143134726391533
1475,木夭丑友什67ab30aa,1.0,97.0,254.0,67.0,12.0,1996,0,0,0.0,2.4849066497880004
1476,木夭丑友什67ab30ab,1.0,229.0,1146.0,369.0,24.0,1992,0,0,0.0,3.1780538303479458
