설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 중원구 박석로 81-1,경기도 성남시 중원구 상대원동 2125,37.439831,127.1648749,2018.8.16
1,경기도 성남시 중원구 박석로 83-2,경기도 성남시 중원구 상대원동 2141,37.4401366,127.1647061,2018.8.16
1,경기도 성남시 중원구 희망로353번길30-13,경기도 성남시 중원구 상대원동 3969,37.4377712,127.1547349,2018.8.16
1,경기도 성남시 중원구 희망로326번길24-33,경기도 성남시 중원구 상대원동 1863,37.435161,127.1595656,2018.8.16
1,경기도 성남시 중원구 희망로326번길24-16,경기도 성남시 중원구 상대원동 1881,37.4356651,127.1599282,2018.8.16
1,경기도 성남시 중원구 희망로326번길24-8,경기도 성남시 중원구 상대원동 1871,37.435891,127.1601773,2018.8.16
1,경기도 성남시 중원구 희망로326번길24-2,경기도 성남시 중원구 상대원동 1866,37.4360521,127.1602115,2018.8.16
1,경기도 성남시 중원구 희망로326번길22,경기도 성남시 중원구 상대원동 1872,37.4359172,127.1600418,2018.8.16
1,경기도 성남시 중원구 상대원동 1894,경기도 성남시 중원구 상대원동 1894,37.4353862,127.159601,2018.8.16
2,경기도 성남시 중원구 희망로353번길33-2,경기도 성남시 중원구 상대원동 4253,37.4371321,127.1542929,2018.8.16
1,경기도 성남시 중원구 희망로343번길36-9,경기도 성남시 중원구 상대원동 4284,37.4366909,127.1540661,2018.8.16
1,경기도 성남시 중원구 희망로353번길37-9,경기도 성남시 중원구 상대원동 4296,37.4369162,127.1539874,2018.8.16
2,경기도 성남시 중원구 희망로343번길29,경기도 성남시 중원구 상대원동 4631,37.4362756,127.1547093,2018.8.16
1,경기도 성남시 중원구 희망로360번길7-6,경기도 성남시 중원구 상대원동 2997-17,37.4379997,127.1591761,2018.8.16
1,경기도 성남시 중원구 상대원동 2997-22,경기도 성남시 중원구 상대원동 2997-22,37.4385573,127.1599343,2018.8.16
2,경기도 성남시 중원구 상대원동 664-2,경기도 성남시 중원구 상대원동 664-2,37.4296914,127.159961,2018.8.16
2,경기도 성남시 중원구 상대원동 223-18,경기도 성남시 중원구 상대원동 223-18,37.4373018,127.175118,2018.8.16
2,경기도 성남시 중원구 사기막골로62번길 51,경기도 성남시 중원구 상대원동 361,37.434667,127.1777333,2018.8.16
2,경기도 성남시 중원구 광명로 131-4,경기도 성남시 중원구 성남동 2115,37.4374437,127.1426778,2018.8.16
1,경기도 성남시 중원구 원터로118번길18-1,경기도 성남시 중원구 성남동 2110,37.4377764,127.1432095,2018.8.16
1,경기도 성남시 중원구 박석로93번길9-1,경기도 성남시 중원구 상대원동 2253,37.440327,127.1638703,2018.8.16
1,경기도 성남시 중원구 희망로326번길5-8,경기도 성남시 중원구 상대원동 2984-19,37.4353871,127.1589333,2018.8.16
1,경기도 성남시 중원구 박석로 52,경기도 성남시 중원구 상대원동 1094,37.4372516,127.1660106,2018.8.16
1,경기도 성남시 중원구 박석로 52-9,경기도 성남시 중원구 상대원동 1079,37.4371342,127.1662363,2018.8.16
1,경기도 성남시 중원구 박석로52번길2,경기도 성남시 중원구 상대원동 1087,37.4373866,127.1661239,2018.8.16
1,경기도 성남시 중원구 박석로42번길5-1,경기도 성남시 중원구 상대원동 1105,37.4367196,127.1663145,2018.8.16
1,경기도 성남시 중원구 희망로359번길26-5,경기도 성남시 중원구 상대원동 3590,37.4380769,127.1552327,2018.8.16
