year,cctv,light,pa,ep,fp,yp,nb,label,gid
1,1,1,0.988501916,-0.054176072,-0.124912281,-0.130769231,0.292682927,0,木夭丑友什64ab30aa
0,0,0,1.638393601,0,-0.204912281,-0.215384615,-0.097560976,0,木夭丑友什64ab30ab
0,0,0,1.139143476,-0.343115124,-0.33122807,-0.323076923,-0.455284553,0,木夭丑友什64ab31ab
1,0,0,0.932511248,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什64ab31ba
1,1,1,0.833194468,-0.343115124,-0.322807018,-0.323076923,-0.325203252,0,木夭丑友什64ab31bb
1,1,1,0.395934011,-0.257336343,-0.030877193,0.607692308,0.617886179,0,木夭丑友什64ab32aa
1,1,1,17.11981336,0.063205418,0.501052632,1.561538462,0.422764228,4,木夭丑友什64ab32ab
1,1,1,17.11981336,0.099322799,0.343859649,1.130769231,0.943089431,4,木夭丑友什64ab32ba
1,1,1,17.11981336,-0.027088036,0.071578947,0.615384615,0.650406504,4,木夭丑友什64ab32bb
1,1,1,19.91134811,-0.266365688,-0.188070175,-0.007692308,1.170731707,4,木夭丑友什64ab33aa
1,1,1,10.22296284,-0.198645598,-0.042105263,0.323076923,2.276422764,4,木夭丑友什64ab33ab
1,1,1,3.446758874,-0.257336343,-0.124912281,0.061538462,2.113821138,0,木夭丑友什64ab33ba
1,0,0,3.446758874,-0.343115124,-0.312982456,-0.261538462,-0.195121951,0,木夭丑友什64ab33bb
1,0,0,0.443926012,-0.343115124,-0.341052632,-0.323076923,0.325203252,0,木夭丑友什64ab34ab
0,1,1,0.684552575,-0.162528217,-0.252631579,-0.323076923,0.87804878,0,木夭丑友什64ab34ba
1,0,0,0.561906349,-0.189616253,-0.103859649,-0.184615385,0.780487805,0,木夭丑友什64ab34bb
0,0,0,0.26662223,-0.316027088,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什64ab35bb
0,0,0,0.26662223,-0.284424379,-0.32,-0.323076923,-0.357723577,0,木夭丑友什64ab36aa
1,0,0,-0.691884686,-0.158013544,-0.126315789,-0.1,-0.455284553,0,木夭丑友什64ab36ab
1,0,0,-0.691884686,0.126410835,0.686315789,1.523076923,0.06504065,2,木夭丑友什64ab36ba
1,0,0,-0.073321113,0.60496614,1.073684211,2.246153846,0.585365854,2,木夭丑友什64ab36bb
0,0,0,-0.073321113,-0.343115124,-0.33122807,-0.323076923,-0.520325203,0,木夭丑友什64ab37aa
1,0,0,-0.073321113,-0.293453725,-0.321403509,-0.323076923,-0.325203252,0,木夭丑友什64ab37ab
1,1,1,0.17463756,-0.230248307,-0.289122807,-0.253846154,0.130081301,0,木夭丑友什64ab37ba
1,0,0,8.659223463,-0.316027088,-0.325614035,-0.323076923,-0.357723577,4,木夭丑友什64ab38bb
1,0,0,8.659223463,-0.266365688,-0.290526316,-0.276923077,-0.097560976,4,木夭丑友什64ab39aa
0,1,1,0.159973338,-0.013544018,-0.176842105,-0.276923077,0.682926829,0,木夭丑友什64ba27ab
1,1,1,5.771704716,-0.189616253,-0.218947368,-0.323076923,0.260162602,0,木夭丑友什64ba27ba
1,0,0,5.320446592,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什64ba28aa
1,0,0,0.163972671,-0.343115124,-0.341052632,-0.323076923,-0.292682927,0,木夭丑友什64ba28ab
1,0,0,0.503916014,0.135440181,-0.120701754,-0.161538462,0,0,木夭丑友什64ba28bb
0,0,0,0.503916014,-0.343115124,-0.341052632,-0.323076923,-0.130081301,0,木夭丑友什64ba29aa
1,1,1,4.03466089,-0.221218962,-0.276491228,-0.323076923,-0.097560976,0,木夭丑友什64ba29ab
1,0,0,0.988501916,-0.343115124,-0.341052632,-0.323076923,-0.325203252,0,木夭丑友什64ba29ba
1,0,0,0.988501916,-0.343115124,-0.341052632,-0.323076923,-0.227642276,0,木夭丑友什64ba29bb
1,1,1,0.988501916,0.406320542,0.195087719,0.053846154,0.845528455,0,木夭丑友什64ba30aa
1,1,1,3.039493418,0.013544018,-0.039298246,-0.053846154,0.585365854,0,木夭丑友什64ba30ab
