gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗676390,127.1342527,37.45007212,42,24,18,0,0,0,0,0,0,6,1,5,1989.83,1,1
ㅼ궗688383,127.1478491,37.44380382,578,278,300,31,17,14,156,85,71,70,,66,1989.13,0,7
ㅼ궗651279,127.1065119,37.34993024,22,20,0,,,,0,0,,3,,,2003.67,0,0
ㅼ궗691383,127.1512406,37.44381387,782,394,388,72,29,43,176,98,78,3,2,,1994,0,1
ㅼ궗673408,127.1307812,37.46628595,58,22,36,0,0,,0,0,0,3,,3,2010.67,0,0
ㅼ궗658276,127.1144292,37.34725215,391,196,195,90,41,49,44,21,23,2,2,,1995,0,0
ㅼ궗709381,127.1715972,37.44206945,9,0,6,,,,,,,1,,,2019,0,0
ㅼ궗694388,127.1546113,37.44833062,67,38,29,7,0,0,9,0,0,4,4,,1991,0,3
ㅼ궗678382,127.1365487,37.44286824,171,78,93,6,0,0,23,11,12,22,1,5,1988.27,1,5
ㅼ궗624326,127.0757887,37.39218891,202,106,96,33,17,16,14,8,6,10,5,4,2009.7,0,0
ㅼ궗695352,127.1558904,37.41588494,398,213,185,45,25,20,74,44,30,3,3,,2009.33,0,0
ㅼ궗712361,127.1750665,37.42405157,39,20,19,6,0,0,7,0,0,3,,3,2013.33,0,2
ㅼ궗683374,127.1422354,37.43567462,565,287,278,50,29,21,97,58,39,44,14,27,1993.8,0,11
ㅼ궗680380,127.1388183,37.44107245,577,274,303,26,13,13,149,89,60,110,,106,1989.31,2,43
ㅼ궗693411,127.1533851,37.46905851,229,121,108,33,12,21,42,21,21,1,1,,2015,0,0
ㅼ궗701385,127.1625373,37.44564941,278,151,127,17,9,8,75,44,31,31,3,15,1991.74,0,4
ㅼ궗623321,127.0746844,37.38767805,418,213,205,79,37,42,20,11,9,2,2,,2010,0,0
ㅼ궗670342,127.1276836,37.40678572,461,243,218,79,40,39,67,37,30,2,2,,1993,1,0
ㅼ궗646321,127.1006659,37.38776865,54,27,27,15,6,9,0,0,,11,,11,2014.64,0,3
ㅼ궗635345,127.0881216,37.40935864,0,,0,,,,,,,5,,5,1991.4,0,3
ㅼ궗643365,127.0970647,37.42741693,309,162,147,49,26,23,18,7,11,3,2,,2019,0,0
ㅼ궗706376,127.1682257,37.43755317,433,204,229,25,12,13,91,51,40,2,2,,1991,0,0
ㅼ궗665301,127.1222194,37.36981187,210,105,105,39,18,21,24,15,9,1,1,,1993,0,0
ㅼ궗692385,127.1523627,37.44561992,439,228,211,37,18,19,95,58,37,1,1,,1990,0,0
ㅼ궗651296,127.1064319,37.36525348,47,9,38,,,,0,0,0,6,,,2004.67,0,0
ㅼ궗676351,127.1344237,37.41491913,355,179,176,59,24,35,56,30,26,2,2,,1995,0,0
