소재지도로명주소,카메라대수,위도,경도,데이터기준일자,소재지지번주소,,,,,,,,구미동,133,구미동,133
"경기도 성남시 분당구 내정로166번길 43, 동코아앞(수내동)",1,37.3705613,127.1229332,2018.4.1,경기도 성남시 수내2동 63-1 동신코아앞,,,,,,,,수내동,108,,
경기도 성남시 분당구 옆보행자도로,3,37.4116682,127.1302593,2018.4.1,경기도 성남시 분당구 야탑1동 365번지 옆 보행자도로,,,,,,,,,,,
"경기도 성남시 분당구 야탑로75번길 15, (야탑동)",3,37.4111742,127.1268318,2018.4.1,경기도 성남시 분당구 야탑1동 355-1번지 옆 보행자도로,,,,,,,,,,,
"경기도 성남시 분당구 장미로48번길 14, (야탑동)",1,37.4126511,127.1255016,2018.4.1,경기도 성남시 분당구 야탑1동 342-3번지,,,,,,,,,,,
"경기도 성남시 분당구 성남대로 920, (야탑동)",1,37.4118544,127.1292425,2018.4.1,경기도 성남시 분당구 야탑1동 364-2번지,,,,,,,,,,,
"경기도 성남시 분당구 성남대로 919, (야탑동)",1,37.4117638,127.1281472,2018.4.1,경기도 성남시 분당구 야탑1동 359-5번지,,,,,,,,,,,
"경기도 성남시 분당구 매화로37번길 5, 성마르코유치원  (야탑동)",1,37.4162652,127.1259045,2018.4.1,경기도 성남시 분당구 야탑1동 389번지 성마르코유치원,,,,,,,,,,,
"경기도 성남시 분당구 장미로108번길 13-1, 맞은편  (야탑동)",3,37.3766914,127.1246814,2018.4.1,경기도 성남시 분당구 야탑1동 383-6번지 맞은편,,,,,,,,,,,
"경기도 성남시 분당구 성남대로925번길 16, 버스출입구  (야탑동)",3,37.412391,127.126981,2018.4.1,경기도 성남시 분당구 야탑1동 341번지(탄천방향 장미로 버스 출입구),,,,,,,,,,,
,2,37.4083528,127.1363293,2018.4.1,경기도 성남시 분당구 야탑2동 521번지 탑골어린이공원(분당16호),,,,,,,,,,,
,2,37.4065842,127.1232851,2018.4.1,경기도 성남시 분당구 야탑2동 534번지 종달새어린이공원(분당11호),,,,,,,,,,,
,2,37.4077388,127.1310191,2018.4.1,경기도 성남시 분당구 야탑2동 524번지 무장들어린이공원(분당15호),,,,,,,,,,,
,3,37.4079394,127.1268844,2018.4.1,경기도 성남시 분당구 야탑2동 509번지 오야소어린이공원(분당12호),,,,,,,,오야동,21,,
경기도 성남시 분당구 야탑로 96-7,3,37.4090206,127.130117,2018.4.1,경기도 성남시 분당구 야탑2동 515번지 돌마초등학교 주변,,,,,,,,,,,
경기도 성남시 분당구 야탑로 20,1,37.4076944,127.1212913,2018.4.1,경기도 성남시 분당구 야탑2동 536번지(늘사랑어린이집),,,,,,,,,,,
,3,37.3766914,127.1246814,2018.4.1,경기도 성남시 분당구 야탑2동 538번지 108동 111동 사이,,,,,,,,,,,
,2,37.382821,127.118925,2018.4.1,경기도 성남시 분당구 야탑2동 540-4번지 하탑지하보도(탑마을 511동 앞),,,,,,,,,,,
,4,37.407751,127.128731,2018.4.1,경기도 성남시 분당구 야탑9교,,,,,,,,,,,
"경기도 성남시 분당구 돌마로 866, 성은특수학교  (야탑동)",4,37.4090454,127.1444121,2018.4.1,경기도 성남시 분당구 야탑3동 172번지 성은특수학교,,,,,,,,,,,
"경기도 성남시 분당구 장미로148번길 5, 부근  (야탑동)",3,37.4125699,127.1373885,2018.4.1,경기도 성남시 분당구 야탑3동 277-9번지 부근,,,,,,,,,,,
"경기도 성남시 분당구 판교로572번길 9, 영덕여고부근  (야탑동)",3,37.4071835,127.1378821,2018.4.1,경기도 성남시 분당구 야탑3동 493-8번지 영덕여고 부근,,,,,,,,,,,
,3,37.4110531,127.141276,2018.4.1,경기도 성남시 분당구 야탑3동 271번지 상희공원 부근,,,,,,,,,,,
"경기도 성남시 분당구 매화로48번길 17-4, 중탑어린이공원분당 9호 (야탑동)",5,37.4118925,127.1363041,2018.4.1,경기도 성남시 분당구 야탑3동 301번지 중탑어린이공원(분당9호),,,,,,,,,,,
"경기도 성남시 분당구 벌말로 68, 중탑초등학교  정문(야탑동)",2,37.4136947,127.1394636,2018.4.1,경기도 성남시 분당구 야탑3동 212번지 중탑초등학교 정문,,,,,,,,,,,
"경기도 성남시 분당구 판교로743번길 6, (야탑동)",2,37.405935,127.1555488,2018.4.1,경기도 성남시 분당구 야탑3동 192-1번지,,,,,,,,,,,
,4,37.4071935,127.1441091,2018.4.1,경기도 성남시 분당구 야탑3동 164번지 신일어린이공원,,,,,,,,,,,
,3,37.4078383,127.1391902,2018.4.1,경기도 성남시 분당구 야탑3동 167번지 목련어린이공원,,,,,,,,,,,
,3,37.4140242,127.1403862,2018.4.1,경기도 성남시 분당구 야탑3동 213-1번지 숲속어린이공원,,,,,,,,,,,
"경기도 성남시 분당구 판교로552번길 26-1, (야탑동)",3,37.4066767,127.1372643,2018.4.1,경기도 성남시 분당구 야탑3동 472-3번지,,,,,,,,,,,
,1,37.4146908,127.1374109,2018.4.1,경기도 성남시 분당구 야탑3동 214-1 매향어린이공원,,,,,,,,,,,
,1,37.4154567,127.1411012,2018.4.1,경기도 성남시 분당구 야탑3동 208 새싹어린이공원,,,,,,,,,,,
"경기도 성남시 분당구 돌마로486번길 7, 209동 지하층  서당보도  앞(서현동, 효자촌동아2단지)",2,37.3777807,127.1355449,2018.4.1,경기도 성남시 분당구 서현2동 343-3번지 서당지하보도(동아아파트 209동 앞),,,,,,,,,,,
"경기도 성남시 분당구 판교로 624-1, 배성유치원  (야탑동)",1,37.4061324,127.1423122,2018.4.1,경기도 성남시 분당구 야탑3동 397번지(배성유치원),,,,,,,,,,,
"경기도 성남시 분당구 양현로 515, 뽀뽀뽀유치원  (야탑동)",4,37.4150272,127.138813,2018.4.1,경기도 성남시 분당구 야탑3동 207-2번지(뽀뽀뽀유치원),,,,,,,,,,,
"경기도 성남시 분당구 판교로562번길 1, (야탑동)",4,37.407081,127.135721,2018.4.1,경기도 성남시 분당구 야탑3동 480-2번지,,,,,,,,,,,
"경기도 성남시 중원구 희망로406번길 19, (금광동)",1,37.4425385,127.1619696,2018.4.1,경기도 성남시 중원구 금광1동 543,,,,,,,,금광동,181,,
"경기도 성남시 중원구 둔촌대로401번길 2, 5동  (상대원동, 국제맨션5차)",1,37.4335782,127.1617011,2018.4.1,경기도 성남시 중원구 상대원1동 1749(건물 부착),,,,,,,,,,,
"경기도 성남시 중원구 희망로353번길 28, (상대원동)",1,37.4373755,127.1550312,2018.4.1,경기도 성남시 중원구 상대원2동 3956,,,,,,,,,,,
"경기도 성남시 중원구 둔촌대로258번길 7, 성남방송고등학교 161호 담 번지 맞은편 전(하대원동)",1,37.4274696,127.1475589,2018.4.1,경기도 성남시 중원구 하대원동 153 성남방송고교 담 (161번지 맞은편 전주),,,,,,,,하대원,83,,
,1,37.403257,127.092432,2018.4.1,경기도 성남시 분당구 판교동 480-5번지 E13-1블럭 내 (경부고속도로 방향),,,,,,,,,,,
"경기도 성남시 분당구 서판교로180번길 3-3, 내자립형고등학교 E13동  방향(판교동)",1,37.4019685,127.0933156,2018.4.1,경기도 성남시 분당구 판교동 491-2번지 E13-1블럭 내 (자립형 고등학교 방향),,,,,,,,,,,
,1,37.4016558,127.0953909,2018.4.1,경기도 성남시 분당구 판교동 500-8번지 E13-1블럭 내부 삼평고(가칭) 후문방향,,,,,,,,,,,
"경기도 성남시 분당구 판교역로 75, 낙생대공원내부  팔각정 입구(백현동)",1,37.3868947,127.1061234,2018.4.1,경기도 성남시 분당구 백현동 523번지 낙생대 공원 내부 팔각정 입구 사거리,,,,,,,,,,,
"경기도 성남시 분당구 판교역로 75, 생태공원내부 2호 (백현동)",1,37.3868947,127.1061234,2018.4.1,경기도 성남시 분당구 백현동 523번지 생태공원 내부 (2),,,,,,,,,,,
"경기도 성남시 분당구 판교역로14번길 42, 신백현초후문변경전 566동 3호 : 백현동 번지(백현동)",3,37.3872477,127.1119429,2018.4.1,경기도 성남시 분당구 백현동 559번지 신백현초 후문(변경전 : 백현동 566-3번지),,,,,,,,,,,
"경기도 성남시 분당구 판교역로18번길 30, 맞은편변경전:백현동 600동 5호 번지(백현동)",1,37.3862453,127.1110003,2018.4.1,경기도 성남시 분당구 백현동 565번지 맞은편(변경전 : 백현동 600-5번지),,,,,,,,,,,
"경기도 성남시 분당구 판교원로81번길 15, 뒷편 운중천변 운중공원 입구(운중동, 산운마을대광로제비앙10단지)",3,37.3903045,127.0732102,2018.4.1,경기도 성남시 분당구 운중동 953번지 산운마을 10단지 뒷편(운중천변) 운중공원 입구,,,,,,,,,,,
,1,37.3897387,127.1017312,2018.4.1,경기도 성남시 판교동 651-1번지 낙생고앞,,,,,,,,,,,
