gid,lon,lat,fp,yp,ep,nb,cctv_light,b20,label
木夭丑友什699388,127.1602641,37.44834701,16.24807681,4.472135955,11.53256259,8.062257748,1,1,3
木夭丑友什686368,127.1456519,37.43027667,4.242640687,0,0,1.414213562,0,1,4
木夭丑友什700394,127.1613702,37.4537584,11.13552873,3.872983346,8.774964387,5.916079783,1,1,2
木夭丑友什690365,127.1501856,37.42758606,12.24744871,3.464101615,8.426149773,5.744562647,1,1,2
木夭丑友什667353,127.1242443,37.41668996,10.48808848,5.830951895,6,1.414213562,0,0,1
木夭丑友什685383,127.1444577,37.44379366,15.13274595,4.472135955,10.72380529,9.273618495,1,1,3
木夭丑友什676378,127.1343053,37.43925583,14.14213562,3.464101615,12.36931688,10.04987562,1,1,3
木夭丑友什702395,127.1636275,37.45466622,12.32882801,5.744562647,7.745966692,3.605551275,1,1,2
木夭丑友什693397,127.1534433,37.45643953,14.35270009,4.69041576,10.67707825,8.366600265,1,1,3
木夭丑友什697378,127.158044,37.4393269,12.36931688,3.31662479,8.660254038,9.16515139,1,1,2
木夭丑友什698387,127.1591376,37.4474424,16.82260384,6.557438524,11.87434209,6.403124237,1,1,5
木夭丑友什685375,127.1444918,37.4365828,16,5.916079783,11.04536102,8.485281374,1,1,3
木夭丑友什689317,127.1492571,37.38431723,5.567764363,2.645751311,0,3.605551275,1,0,4
木夭丑友什684387,127.1433101,37.44739569,14.62873884,5.385164807,8.774964387,5.916079783,1,1,0
