,gid,pa,ep,fp,yp,nb,year,cctv,light
2027,木夭丑友什69bb39aa,0.679,332.0,812.0,131.0,164.0,0,1,1
2028,木夭丑友什69bb39ab,0.51,117.0,283.0,38.0,57.0,0,1,1
2029,木夭丑友什69bb39ba,0.51,257.0,461.0,56.0,121.0,0,1,1
2030,木夭丑友什69bb39bb,0.51,424.0,1154.0,199.0,118.0,0,1,1
2031,木夭丑友什69bb40aa,1.837,128.0,241.0,16.0,30.0,0,0,0
2032,木夭丑友什69bb40ab,1.542,70.0,196.0,25.0,27.0,0,1,1
2048,木夭丑友什70aa33ba,4.239,0.0,0.0,0.0,1.0,1,0,0
2049,木夭丑友什70aa33bb,4.239,0.0,0.0,0.0,3.0,1,0,0
2052,木夭丑友什70aa34ba,3.461,42.0,85.0,10.0,1.0,1,0,0
2053,木夭丑友什70aa34bb,3.465,210.0,541.0,120.0,24.0,1,1,1
2056,木夭丑友什70aa35ba,1.56,0.0,0.0,0.0,2.0,1,0,0
2062,木夭丑友什70aa37aa,0.663,131.0,389.0,68.0,70.0,0,1,1
2063,木夭丑友什70aa37ab,0.637,568.0,1473.0,242.0,253.0,0,1,1
2064,木夭丑友什70aa37ba,0.637,585.0,1402.0,202.0,436.0,0,1,1
2065,木夭丑友什70aa37bb,0.39,528.0,1313.0,187.0,314.0,0,1,1
2066,木夭丑友什70aa38aa,0.39,257.0,654.0,120.0,125.0,0,1,1
2067,木夭丑友什70aa38ab,0.39,45.0,71.0,0.0,15.0,0,1,1
2068,木夭丑友什70aa38ba,0.427,580.0,1303.0,161.0,236.0,0,1,1
2069,木夭丑友什70aa38bb,0.672,388.0,964.0,117.0,154.0,0,1,1
2070,木夭丑友什70aa39aa,0.49,577.0,1454.0,220.0,132.0,0,1,1
2071,木夭丑友什70aa39ab,0.49,423.0,1014.0,165.0,136.0,0,1,1
2072,木夭丑友什70aa39ba,0.49,490.0,1053.0,108.0,172.0,0,1,1
2073,木夭丑友什70aa39bb,0.51,687.0,1555.0,236.0,242.0,0,1,1
2074,木夭丑友什70aa40aa,0.517,283.0,693.0,113.0,102.0,0,1,1
2075,木夭丑友什70aa40ab,1.837,0.0,0.0,0.0,1.0,0,0,0
2089,木夭丑友什70ab33ab,5.322,0.0,0.0,0.0,3.0,1,0,0
2094,木夭丑友什70ab34ba,1.349,232.0,597.0,111.0,6.0,1,0,0
2095,木夭丑友什70ab34bb,3.465,115.0,239.0,25.0,2.0,1,0,0
2099,木夭丑友什70ab35bb,1.28,0.0,0.0,0.0,5.0,1,0,0
2104,木夭丑友什70ab37aa,0.514,145.0,384.0,61.0,92.0,0,1,1
2105,木夭丑友什70ab37ab,0.637,370.0,1042.0,204.0,185.0,0,1,1
2106,木夭丑友什70ab37ba,0.637,477.0,1256.0,215.0,402.0,0,1,1
2107,木夭丑友什70ab37bb,0.345,535.0,1096.0,150.0,381.0,0,1,1
2108,木夭丑友什70ab38aa,0.345,432.0,935.0,116.0,214.0,0,1,1
2110,木夭丑友什70ab38ba,0.427,332.0,936.0,135.0,157.0,0,1,1
2111,木夭丑友什70ab38bb,0.672,477.0,1220.0,176.0,192.0,0,1,1
2112,木夭丑友什70ab39aa,0.49,397.0,1002.0,158.0,169.0,0,1,1
2113,木夭丑友什70ab39ab,0.49,330.0,905.0,144.0,60.0,0,1,1
2114,木夭丑友什70ab39ba,0.49,765.0,1820.0,251.0,164.0,0,1,1
2115,木夭丑友什70ab39bb,0.502,493.0,1005.0,142.0,187.0,0,1,1
2116,木夭丑友什70ab40aa,0.517,184.0,448.0,74.0,67.0,0,1,1
2117,木夭丑友什70ab40ab,0.931,80.0,183.0,15.0,42.0,0,1,1
2135,木夭丑友什70ba34ba,10.051,132.0,179.0,10.0,6.0,0,1,1
2136,木夭丑友什70ba34bb,3.465,0.0,0.0,0.0,1.0,0,1,1
2138,木夭丑友什70ba35ab,1.56,0.0,0.0,0.0,1.0,0,0,0
2140,木夭丑友什70ba35bb,3.016,0.0,0.0,0.0,14.0,1,0,0
2144,木夭丑友什70ba36bb,0.944,0.0,0.0,0.0,10.0,0,1,1
2145,木夭丑友什70ba37aa,0.944,0.0,0.0,0.0,8.0,0,0,0
2147,木夭丑友什70ba37ba,0.637,154.0,327.0,37.0,77.0,0,1,1
2148,木夭丑友什70ba37bb,0.345,614.0,1378.0,284.0,125.0,0,1,1
2149,木夭丑友什70ba38aa,0.345,640.0,1186.0,197.0,190.0,0,1,1
2150,木夭丑友什70ba38ab,0.345,68.0,173.0,28.0,3.0,0,1,1
2151,木夭丑友什70ba38ba,0.831,208.0,521.0,65.0,105.0,0,1,1
2152,木夭丑友什70ba38bb,0.672,34.0,95.0,17.0,18.0,0,0,0
2153,木夭丑友什70ba39aa,0.49,540.0,1315.0,177.0,276.0,0,1,1
2154,木夭丑友什70ba39ab,0.49,308.0,888.0,130.0,124.0,0,1,1
2155,木夭丑友什70ba39ba,0.49,444.0,1140.0,139.0,154.0,0,1,1
2156,木夭丑友什70ba39bb,0.502,499.0,1145.0,186.0,119.0,0,1,1
2157,木夭丑友什70ba40aa,1.106,589.0,1163.0,154.0,136.0,0,1,1
2158,木夭丑友什70ba40ab,1.106,339.0,748.0,85.0,140.0,0,1,1
2159,木夭丑友什70ba40ba,1.282,165.0,422.0,75.0,30.0,0,0,0
2174,木夭丑友什70bb34ba,10.051,0.0,0.0,0.0,1.0,0,0,0
2180,木夭丑友什70bb36aa,2.303,18.0,22.0,0.0,4.0,0,0,0
2184,木夭丑友什70bb37aa,0.944,0.0,0.0,0.0,18.0,0,1,1
2185,木夭丑友什70bb37ab,0.944,0.0,0.0,0.0,9.0,1,0,0
2186,木夭丑友什70bb37ba,0.914,0.0,0.0,0.0,1.0,1,0,0
2187,木夭丑友什70bb37bb,0.345,410.0,931.0,166.0,9.0,0,1,1
2188,木夭丑友什70bb38aa,0.345,260.0,600.0,113.0,8.0,0,1,1
2189,木夭丑友什70bb38ab,0.345,350.0,894.0,175.0,10.0,0,0,0
2190,木夭丑友什70bb38ba,0.358,30.0,112.0,23.0,9.0,0,1,1
