소재지지번주소,위도,경도,설치개수,구,동,세부주소
경기도 성남시 분당구 동원동 155-1번지,37.34982248,127.0911567,1,분당구,동원동,155-1번지
경기도 성남시 분당구 동원동 155-1번지 1호,37.34982248,127.0911567,1,분당구,동원동,155-1번지 1호
경기도 성남시 분당구 동원동 162-5번지,37.34954837,127.0894896,1,분당구,동원동,162-5번지
경기도 성남시 분당구 동원동 144-2번지,37.34928067,127.0898314,1,분당구,동원동,144-2번지
경기도 성남시 분당구 동원동,37.35115119,127.0893461,1,분당구,동원동,
경기도 성남시 분당구 동원동,37.35115119,127.0893461,1,분당구,동원동,
경기도 성남시 분당구 동원동 135-1번지 2호,37.34773423,127.0926266,1,분당구,동원동,135-1번지 2호
경기도 성남시 분당구 동원동 135-1번지 4호,37.34773423,127.0926266,1,분당구,동원동,135-1번지 4호
경기도 성남시 분당구 동원동 135-1번지 6호,37.34773423,127.0926266,1,분당구,동원동,135-1번지 6호
경기도 성남시 분당구 이매동 산55-6번지 인근,37.39093474,127.1290019,1,분당구,이매동,산55-6번지 인근
경기도 성남시 분당구 이매동 산55-6번지 인근,37.39093474,127.1290019,1,분당구,이매동,산55-6번지 인근
경기도 성남시 분당구 이매동 389-4번지,37.39197031,127.1289109,1,분당구,이매동,389-4번지
경기도 성남시 분당구 이매동 389-4번지 인근,37.39197031,127.1289109,1,분당구,이매동,389-4번지 인근
경기도 성남시 분당구 이매동 389-4번지 인근,37.39197031,127.1289109,1,분당구,이매동,389-4번지 인근
경기도 성남시 분당구 이매동 389-4번지 인근,37.39197031,127.1289109,1,분당구,이매동,389-4번지 인근
경기도 성남시 분당구 이매동 389-4번지 인근,37.39197031,127.1289109,1,분당구,이매동,389-4번지 인근
경기도 성남시 분당구 이매동 366-7번지 인근,37.39176075,127.1322788,1,분당구,이매동,366-7번지 인근
경기도 성남시 분당구 이매동 366-7번지 인근,37.39176075,127.1322788,1,분당구,이매동,366-7번지 인근
경기도 성남시 분당구 이매동 65-1번지 인근,37.39736922,127.1291083,1,분당구,이매동,65-1번지 인근
경기도 성남시 분당구 동원동 135-1번지 7호,37.34773423,127.0926266,1,분당구,동원동,135-1번지 7호
경기도 성남시 분당구 동원동 135-1번지 8호,37.34773423,127.0926266,1,분당구,동원동,135-1번지 8호
경기도 성남시 분당구 동원동 135-1번지 9호,37.34773423,127.0926266,1,분당구,동원동,135-1번지 9호
경기도 성남시 분당구 동원동 308-5번지,37.35232718,127.0829319,1,분당구,동원동,308-5번지
경기도 성남시 분당구 동원동 308-5번지 2호,37.35232718,127.0829319,1,분당구,동원동,308-5번지 2호
경기도 성남시 분당구 동원동 309-1번지 1호,37.35151454,127.0815534,1,분당구,동원동,309-1번지 1호
경기도 성남시 분당구 석운동 98-24번지,37.36764189,127.0470816,1,분당구,석운동,98-24번지
경기도 성남시 분당구 석운동 98-5번지,37.36909485,127.0440037,1,분당구,석운동,98-5번지
경기도 성남시 분당구 이매동 95-2번지 인근,37.39761739,127.1297718,1,분당구,이매동,95-2번지 인근
경기도 성남시 분당구 이매동 95번지 인근,37.39726998,127.1303179,1,분당구,이매동,95번지 인근
경기도 성남시 분당구 이매동 95-2번지 인근,37.39761739,127.1297718,1,분당구,이매동,95-2번지 인근
경기도 성남시 분당구 이매동 95-1번지 인근,37.39728783,127.1302951,1,분당구,이매동,95-1번지 인근
경기도 성남시 분당구 이매동 92-1번지 인근,37.39785974,127.1296448,1,분당구,이매동,92-1번지 인근
경기도 성남시 분당구 이매동 95-1번지 인근,37.39728783,127.1302951,1,분당구,이매동,95-1번지 인근
경기도 성남시 분당구 이매동 86-6번지 인근 1호 번지,37.39839407,127.1300113,1,분당구,이매동,86-6번지 인근 1호 번지
