gid,pa,ep,fp,yp,cctv,light,pop,nb
¤ì‚¬61ab33aa,9.795,,,,0,0,,0
¤ì‚¬61ab33ab,9.795,,,,0,0,,0
¤ì‚¬61ab33ba,10.065,,,,0,0,,0
¤ì‚¬61ab33bb,18.394,,,,0,0,,0
¤ì‚¬61ab34aa,18.394,,,,0,0,,0
¤ì‚¬61ab34ab,5.867,,,,0,0,,0
¤ì‚¬61ab34ba,5.867,,,,0,0,,0
¤ì‚¬61ab34bb,5.867,,,,0,0,,0
¤ì‚¬61ab35aa,6.182,,,,0,0,,0
¤ì‚¬61ab35ab,5.98,,,,0,0,,0
¤ì‚¬61ab35ba,5.978,,,,0,0,,0
¤ì‚¬61ab35bb,5.432,,,,0,0,,0
¤ì‚¬61ab36aa,5.432,,,,0,0,,0
¤ì‚¬61ab36ab,5.342,,,,0,0,,0
¤ì‚¬61ab36ba,5.008,,,,0,0,,0
¤ì‚¬61ab36bb,5.008,,,,0,0,,0
¤ì‚¬61ba28bb,4.712,,,,0,0,,0
¤ì‚¬61ba29aa,4.173,0,0,,0,5,0,2
¤ì‚¬61ba29ab,3.982,,,,0,1,,0
¤ì‚¬61ba29ba,3.982,,,,0,3,,0
¤ì‚¬61ba29bb,3.55,,,,0,0,,0
¤ì‚¬61ba30aa,3.313,,,,0,0,,0
¤ì‚¬61ba30ab,3.313,,,,0,7,,0
¤ì‚¬61ba30ba,3.313,,,,0,2,,0
¤ì‚¬61ba30bb,3.29,,,,0,0,,0
¤ì‚¬61ba31aa,6.903,,,,0,0,,0
¤ì‚¬61ba31ab,7.345,,,,0,0,,0
¤ì‚¬61ba31ba,7.345,,,,0,0,,0
¤ì‚¬61ba31bb,7.345,,,,0,0,,0
¤ì‚¬61ba32aa,7.653,,,,0,0,,0
¤ì‚¬61ba32ab,1.505,9,86,26,2,0,165,0
¤ì‚¬61ba32ba,1.876,28,115,37,9,0,231,0
¤ì‚¬61ba32bb,1.876,25,110,29,1,0,204,0
¤ì‚¬61ba33aa,1.876,,,,0,0,,0
¤ì‚¬61ba33ab,2.142,,,,0,0,,0
¤ì‚¬61ba33ba,18.387,,,,0,0,,0
¤ì‚¬61ba33bb,18.387,,,,0,0,,1
¤ì‚¬61ba34aa,5.378,,,,0,0,,0
¤ì‚¬61ba34ab,5.867,,,,0,0,,0
¤ì‚¬61ba34ba,5.867,,,,0,0,,0
¤ì‚¬61ba34bb,5.867,,,,0,0,,0
¤ì‚¬61ba35aa,5.91,,,,0,0,,0
¤ì‚¬61ba35ab,5.91,,,,0,0,,0
¤ì‚¬61ba35ba,5.978,,,,0,0,,0
¤ì‚¬61ba35bb,5.836,,,,0,0,,0
¤ì‚¬61ba36aa,5.432,,,,0,0,,0
¤ì‚¬61ba36ab,5.342,10,17,0,0,5,29,9
¤ì‚¬61ba36ba,5.008,,,,0,0,,0
¤ì‚¬61ba36bb,5.008,,,,0,0,,0
¤ì‚¬61bb28bb,4.628,,,,0,1,,0
¤ì‚¬61bb29aa,4.173,,,,0,0,,0
¤ì‚¬61bb29ab,3.865,,,,0,0,,0
¤ì‚¬61bb29ba,3.865,,,,1,16,,0
¤ì‚¬61bb29bb,3.865,,,,0,13,,0
¤ì‚¬61bb30aa,3.313,,,,1,15,,0
¤ì‚¬61bb30ab,3.313,,,,0,15,,0
¤ì‚¬61bb30ba,3.602,,,,0,2,,0
¤ì‚¬61bb30bb,3.888,,,,0,4,,0
¤ì‚¬61bb31aa,6.903,,,,0,0,,0
¤ì‚¬61bb31ab,1.394,,,,0,0,,0
¤ì‚¬61bb31ba,1.394,,,,0,0,,0
¤ì‚¬61bb31bb,1.394,21,79,14,0,0,136,0
¤ì‚¬61bb32aa,7.653,,,,0,0,,0
¤ì‚¬61bb32ab,7.653,30,193,85,4,0,372,0
¤ì‚¬61bb32ba,1.876,71,309,106,8,0,628,0
¤ì‚¬61bb32bb,1.876,37,99,26,0,0,186,0
¤ì‚¬61bb33aa,1.876,,,,0,0,,0
¤ì‚¬61bb33ab,2.142,,,,0,0,,0
¤ì‚¬61bb33ba,18.387,,,,0,0,,0
¤ì‚¬61bb33bb,18.387,,,,0,0,,0
¤ì‚¬61bb34aa,5.378,,,,0,2,,0
¤ì‚¬61bb34ab,5.378,,,,0,6,,0
¤ì‚¬61bb34ba,5.378,,,,0,0,,0
¤ì‚¬61bb34bb,5.91,,,,0,0,,0
¤ì‚¬61bb35aa,5.91,,,,0,0,,0
¤ì‚¬61bb35ab,5.91,,,,0,0,,0
¤ì‚¬61bb35ba,5.479,,,,0,0,,0
