,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
1045,ㅼㅤㄱㅝㅀ675387,127.1331353,37.44736454,482.0,238.0,244.0,23.0,14.0,9.0,139.0,78.0,61.0,101.0,1.0,87.0,1988.28,1,15,16,1
1054,ㅼㅤㄱㅝㅀ654276,127.1099131,37.34723735,156.0,85.0,71.0,8.0,0.0,0.0,32.0,20.0,12.0,12.0,1.0,11.0,1996.0,0,0,0,0
1067,ㅼㅤㄱㅝㅀ698374,127.1591907,37.43572472,399.0,195.0,204.0,16.0,11.0,0.0,87.0,44.0,43.0,59.0,3.0,49.0,1988.85,1,13,14,1
1072,ㅼㅤㄱㅝㅀ705381,127.1670753,37.44205679,527.0,244.0,283.0,49.0,29.0,20.0,130.0,63.0,67.0,71.0,2.0,62.0,1988.27,0,18,18,1
1073,ㅼㅤㄱㅝㅀ704372,127.1659809,37.43394136,337.0,149.0,188.0,17.0,9.0,8.0,65.0,31.0,34.0,27.0,5.0,15.0,1992.22,0,5,5,1
1084,ㅼㅤㄱㅝㅀ679380,127.1376879,37.44106899,529.0,256.0,273.0,21.0,7.0,14.0,118.0,74.0,44.0,96.0,1.0,83.0,1986.75,1,36,37,1
1087,ㅼㅤㄱㅝㅀ681390,127.1399055,37.45008947,536.0,236.0,300.0,25.0,11.0,14.0,110.0,65.0,45.0,104.0,2.0,102.0,1989.96,2,14,16,1
1090,ㅼㅤㄱㅝㅀ678366,127.1366184,37.4284465,172.0,85.0,87.0,8.0,0.0,0.0,44.0,25.0,19.0,11.0,5.0,2.0,1997.78,0,4,4,1
1092,ㅼㅤㄱㅝㅀ700385,127.1614068,37.44564618,388.0,175.0,213.0,19.0,9.0,10.0,81.0,47.0,34.0,32.0,3.0,11.0,1991.44,0,9,9,1
1100,ㅼㅤㄱㅝㅀ698398,127.1590926,37.45735733,176.0,86.0,90.0,16.0,9.0,7.0,41.0,23.0,18.0,21.0,2.0,15.0,1989.52,1,2,3,1
1101,ㅼㅤㄱㅝㅀ701387,127.1625292,37.44745213,467.0,233.0,234.0,36.0,21.0,15.0,111.0,62.0,49.0,47.0,5.0,41.0,1991.34,0,10,10,1
1103,ㅼㅤㄱㅝㅀ686385,127.1455797,37.44559978,418.0,208.0,210.0,42.0,21.0,21.0,77.0,43.0,34.0,31.0,12.0,8.0,1995.81,0,6,6,1
1108,ㅼㅤㄱㅝㅀ675381,127.1331617,37.4419564,222.0,111.0,111.0,21.0,14.0,7.0,47.0,23.0,24.0,24.0,1.0,3.0,1987.38,2,8,10,1
1117,ㅼㅤㄱㅝㅀ706401,127.1681261,37.46008715,437.0,212.0,225.0,17.0,9.0,8.0,142.0,88.0,54.0,42.0,7.0,35.0,1990.4,1,11,12,1
1119,ㅼㅤㄱㅝㅀ695388,127.1557419,37.44833392,299.0,154.0,145.0,15.0,7.0,8.0,86.0,50.0,36.0,13.0,4.0,7.0,1996.08,0,3,3,1
1123,ㅼㅤㄱㅝㅀ680342,127.1389828,37.40682076,149.0,73.0,76.0,11.0,6.0,0.0,33.0,19.0,14.0,12.0,3.0,5.0,2002.67,0,7,7,1
