gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什63ba37ab,0,-0.5,-0.5,0.106565267,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什63bb27bb,3.266666667,-0.5,-0.5,0.641830359,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什63bb29ab,-0.733333333,-0.5,-0.5,0.876255764,-0.343115124,-0.341052632,-0.323076923,-0.44733994
木夭丑友什63bb29ba,-0.6,-0.5,-0.5,1.092397837,-0.343115124,-0.341052632,-0.323076923,-0.44733994
木夭丑友什63bb30aa,-0.133333333,0,0,1.027090061,-0.036117381,-0.190877193,-0.246153846,-0.159206268
木夭丑友什63bb30ab,0.2,-0.5,-0.5,1.027090061,-0.176072235,-0.258245614,-0.323076923,-0.206709106
木夭丑友什63bb31ba,-0.466666667,-0.5,-0.5,0.352637414,-0.311512415,-0.325614035,-0.323076923,-0.258347632
木夭丑友什63bb32aa,-0.6,0.5,0.5,-0.407844315,0.523702032,1.052631579,2.876923077,0.179394223
木夭丑友什63bb32ab,-0.733333333,4.5,4.5,-0.169759385,-0.343115124,-0.341052632,-0.323076923,0.90414682
木夭丑友什63bb33aa,-1,-0.5,-0.5,0.415631588,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什63bb33ab,-0.866666667,1,1,0.415631588,0.23476298,0.06877193,0.238461538,0.356540457
木夭丑友什63bb33ba,-0.6,0.5,0.5,0.415631588,0.176072235,-0.007017544,0.138461538,0.066008928
木夭丑友什63bb33bb,-0.8,0,0,0.960196522,-0.085778781,-0.082807018,0.030769231,0.393644329
木夭丑友什63bb34ba,-0.333333333,-0.5,-0.5,0.852075772,-0.297968397,-0.321403509,-0.323076923,-0.258347632
木夭丑友什63bb36ba,1,-0.5,-0.5,-0.080070738,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什64aa28bb,-0.6,-0.5,-0.5,0.461160319,-0.275395034,-0.324210526,-0.323076923,-1.681423322
木夭丑友什64aa29ab,-0.666666667,-0.5,-0.5,0.876255764,-0.343115124,-0.324210526,-0.323076923,0.066008928
木夭丑友什64aa29ba,-0.8,-0.5,-0.5,1.092397837,-0.343115124,-0.33122807,-0.323076923,-0.258347632
木夭丑友什64aa30aa,-0.133333333,0,0,1.027090061,-0.239277652,-0.247017544,-0.261538462,-0.159206268
木夭丑友什64aa30ab,0.066666667,-0.5,-0.5,1.027090061,-0.266365688,-0.293333333,-0.323076923,-0.44733994
木夭丑友什64aa31ab,-0.533333333,-0.5,-0.5,0.803036744,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什64aa31ba,-0.2,-0.5,-0.5,0.694844758,-0.343115124,-0.341052632,-0.323076923,-0.526586637
木夭丑友什64aa32aa,-0.6,0,0,0.350120729,-0.121896163,0.522105263,2.384615385,-0.726272363
木夭丑友什64aa32ab,-0.666666667,0.5,0.5,0.42272508,0.25282167,0.846315789,2.369230769,0.428564322
木夭丑友什64aa32bb,-0.6,-0.5,-0.5,0.652565811,-0.198645598,-0.192280702,-0.069230769,-0.726272363
木夭丑友什64aa33aa,-0.6,-0.5,-0.5,0.415631588,0.18510158,0.179649123,0.476923077,-0.726272363
木夭丑友什64aa33ab,-0.6,0.5,0.5,0.415631588,0.501128668,0.630175439,1.615384615,0.296135618
木夭丑友什64aa33ba,-0.866666667,2,2,1.587566474,-0.094808126,-0.044912281,0.092307692,0.507811018
木夭丑友什64aa33bb,-0.866666667,7,7,1.587566474,-0.261851016,-0.168421053,-0.069230769,0.685913688
木夭丑友什64aa34ab,-0.133333333,-0.5,-0.5,0.960196522,-0.343115124,-0.341052632,-0.323076923,-0.858701067
